Local time in Moscow;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;Ee;sss
"24.09.2019 06:00";"2.3";"748.9";"763.6";"0.1";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"1.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"1000-1500";"";"";"10.0";"-0.2";"0.1";"12";"";"";"";"";
"24.09.2019 03:00";"1.3";"748.8";"763.6";"0.2";"86";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"";"-0.8";"";"";"";"";"";"";
"24.09.2019 00:00";"3.7";"748.6";"763.3";"0.4";"72";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"";"-0.9";"";"";"";"";"";"";
"23.09.2019 21:00";"4.7";"748.2";"762.8";"0.9";"73";"Wind blowing from the west";"1";"";"";"60%.";"Clouds generally dissolving or becoming less developed. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"8.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"0.3";"0.2";"12";"";"";"";"";
"23.09.2019 18:00";"6.7";"747.3";"761.8";"0.7";"60";"Wind blowing from the north-west";"1";"";"11";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"-0.5";"0.2";"12";"";"";"";"";
"23.09.2019 15:00";"7.6";"746.6";"761.0";"0.1";"48";"Wind blowing from the north-west";"3";"";"11";"90  or more, but not 100%";"Clouds generally forming or developing. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"10.0";"-2.8";"";"";"";"";"";"";
"23.09.2019 12:00";"6.7";"746.5";"760.9";"0.7";"63";"Wind blowing from the north-west";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"0.0";"";"";"";"";"";"";
"23.09.2019 09:00";"3.5";"745.8";"760.4";"1.5";"86";"Wind blowing from the north-west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"3.1";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"300-600";"";"";"4.0";"1.3";"0.1";"12";"Surface of ground wet (standing water in small or large pools on surface).";"4.0";"";"";
"23.09.2019 06:00";"3.9";"744.3";"758.9";"0.8";"78";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"3.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.3";"0.3";"12";"";"";"";"";
"23.09.2019 03:00";"4.0";"743.5";"758.1";"1.5";"79";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"0.7";"";"";"";"";"";"";
"23.09.2019 00:00";"4.4";"742.0";"756.5";"1.4";"82";"Wind blowing from the north-west";"2";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"1.5";"";"";"";"";"";"";
"22.09.2019 21:00";"4.3";"740.6";"755.1";"1.8";"85";"Wind blowing from the north-northwest";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"7.2";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"";"2.0";"0.8";"12";"";"";"";"";
"22.09.2019 18:00";"4.4";"738.8";"753.3";"2.0";"83";"Wind blowing from the north-west";"2";"";"14";"50%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"1.8";"0.5";"12";"";"";"";"";
"22.09.2019 15:00";"5.8";"736.8";"751.0";"1.2";"73";"Wind blowing from the north-northwest";"3";"";"14";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"1.3";"";"";"";"";"";"";
"22.09.2019 12:00";"6.1";"735.6";"749.8";"0.8";"77";"Wind blowing from the north-northwest";"3";"";"11";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.3";"";"";"";"";"";"";
"22.09.2019 09:00";"5.7";"734.8";"749.2";"-0.3";"88";"Wind blowing from the north-west";"2";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.1";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"300-600";"";"";"4.0";"3.9";"2.0";"12";"Surface of ground moist.";"7.0";"";"";
"22.09.2019 06:00";"5.5";"735.1";"749.5";"-1.8";"94";"Wind blowing from the north-west";"1";"";"";"100%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"5.1";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"300-600";"";"";"4.0";"4.6";"2.0";"12";"";"";"";"";
"22.09.2019 03:00";"5.1";"736.9";"751.3";"-3.0";"94";"Wind blowing from the south";"1";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"";"4.2";"";"";"";"";"";"";
"22.09.2019 00:00";"5.3";"739.9";"754.3";"-2.7";"90";"Wind blowing from the south-southeast";"1";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"";"3.8";"";"";"";"";"";"";
"21.09.2019 21:00";"6.7";"742.6";"757.1";"-1.3";"71";"Wind blowing from the west-northwest";"1";"";"";"100%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"9.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"";"";"1.8";"0.1";"12";"";"";"";"";
"21.09.2019 18:00";"7.8";"743.9";"758.3";"-1.7";"56";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"-0.5";"0.1";"12";"";"";"";"";
"21.09.2019 15:00";"8.6";"745.6";"760.0";"-1.2";"53";"Wind blowing from the west";"1";"";"";"100%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"100%.";"600-1000";"";"";"10.0";"-0.6";"";"";"";"";"";"";
"21.09.2019 12:00";"8.4";"746.8";"761.2";"-0.8";"59";"Wind blowing from the north-northwest";"1";"";"";"60%.";" ";"";"";"";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"0.8";"";"";"";"";"";"";
"21.09.2019 09:00";"3.6";"747.6";"762.2";"0.5";"89";"Wind blowing from the north-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"2.0";"No precipitation";"12";"Surface of ground moist.";"3.0";"";"";
"21.09.2019 06:00";"2.8";"747.1";"761.8";"0.5";"95";"Wind blowing from the north-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"2.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"2.0";"No precipitation";"12";"";"";"";"";
"21.09.2019 03:00";"3.6";"746.6";"761.3";"0.1";"93";"Wind blowing from the north-west";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"2.6";"";"";"";"";"";"";
"21.09.2019 00:00";"5.1";"746.5";"761.1";"0.2";"96";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"4.5";"";"";"";"";"";"";
"20.09.2019 21:00";"4.5";"746.3";"760.9";"0.6";"97";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"10.1";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"Altocumulus cumulogenitus (or cumulonimbogenitus).";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"4.0";"4.0";"12";"";"";"";"";
"20.09.2019 18:00";"6.7";"745.7";"760.2";"-0.2";"93";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.6";"4.0";"12";"";"";"";"";
"20.09.2019 15:00";"5.7";"745.9";"760.5";"0.3";"94";"Calm, no wind";"0";"";"";"100%.";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"100%.";"600-1000";"";"";"4.0";"4.8";"";"";"";"";"";"";
"20.09.2019 12:00";"9.7";"745.6";"759.9";"0.0";"59";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"2.1";"";"";"";"";"";"";
"20.09.2019 09:00";"8.3";"745.6";"760.0";"0.1";"80";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"3.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.0";"No precipitation";"12";"Surface of ground moist.";"4.0";"";"";
"20.09.2019 06:00";"3.6";"745.5";"760.1";"-0.1";"98";"Calm, no wind";"0";"";"";"90  or more, but not 100%";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"3.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.3";"No precipitation";"12";"";"";"";"";
"20.09.2019 03:00";"4.6";"745.6";"760.3";"0.1";"94";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"3.7";"";"";"";"";"";"";
"20.09.2019 00:00";"7.0";"745.5";"760.0";"0.2";"77";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"3.2";"";"";"";"";"";"";
"19.09.2019 21:00";"7.9";"745.3";"759.7";"1.0";"79";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"11.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"4.5";"0.6";"12";"";"";"";"";
"19.09.2019 18:00";"9.4";"744.3";"758.5";"1.1";"69";"Wind blowing from the north-west";"1";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"4.0";"0.6";"12";"";"";"";"";
"19.09.2019 15:00";"11.4";"743.2";"757.4";"0.6";"71";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"6.3";"";"";"";"";"";"";
"19.09.2019 12:00";"10.7";"742.6";"756.7";"1.5";"58";"Wind blowing from the west-northwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"2.8";"";"";"";"";"";"";
"19.09.2019 09:00";"8.4";"741.1";"755.4";"2.0";"79";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.8";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"4.9";"0.9";"12";"Surface of ground moist.";"6.0";"";"";
"19.09.2019 06:00";"7.2";"739.1";"753.4";"1.5";"92";"Wind blowing from the north-west";"1";"";"";"100%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"6.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"4.0";"6.0";"0.9";"12";"";"";"";"";
"19.09.2019 03:00";"7.6";"737.6";"751.9";"1.5";"87";"Wind blowing from the north-northwest";"1";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"";"5.5";"";"";"";"";"";"";
"19.09.2019 00:00";"6.8";"736.1";"750.4";"0.8";"88";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"4.9";"";"";"";"";"";"";
"18.09.2019 21:00";"8.8";"735.3";"749.4";"0.7";"86";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"13.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"6.6";"0.1";"12";"";"";"";"";
"18.09.2019 18:00";"9.9";"734.6";"748.7";"0.4";"81";"Calm, no wind";"0";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.7";"0.1";"12";"";"";"";"";
"18.09.2019 15:00";"13.4";"734.2";"748.0";"-0.6";"53";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.9";"";"";"";"";"";"";
"18.09.2019 12:00";"11.0";"734.8";"748.9";"-0.1";"69";"Wind blowing from the north-northwest";"2";"";"";"60%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.5";"";"";"";"";"";"";
"18.09.2019 09:00";"8.9";"734.9";"749.0";"0.0";"82";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"6.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"5.9";"No precipitation";"12";"Surface of ground moist.";"6.0";"";"";
"18.09.2019 06:00";"7.7";"734.9";"749.1";"-0.1";"90";"Calm, no wind";"0";"";"";"100%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"6.4";"";"Stratus fractus or Cumulus fractus of bad weather, or both (pannus), usually below Altostratus or Nimbostratus.";"100%.";"300-600";"";"";"4.0";"6.2";"Trace of precipitation";"12";"";"";"";"";
"18.09.2019 03:00";"6.5";"735.0";"749.2";"-0.1";"95";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"5.7";"";"";"";"";"";"";
"18.09.2019 00:00";"8.1";"735.1";"749.3";"0.1";"86";"Wind blowing from the west";"1";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"5.9";"";"";"";"";"";"";
"17.09.2019 21:00";"9.2";"735.0";"749.1";"0.5";"80";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"13.0";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"5.9";"1.0";"12";"";"";"";"";
"17.09.2019 18:00";"9.7";"734.5";"748.6";"0.3";"85";"Wind blowing from the west";"1";"";"";"90  or more, but not 100%";"Rain shower(s), slight. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.3";"1.0";"12";"";"";"";"";
"17.09.2019 15:00";"11.2";"734.2";"748.2";"0.3";"73";"Wind blowing from the west-northwest";"1";"";"";"100%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"6.4";"";"";"";"";"";"";
"17.09.2019 12:00";"11.1";"733.9";"747.9";"0.3";"74";"Wind blowing from the west";"1";"";"";"100%.";"Shower(s) of rain. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"100%.";"600-1000";"";"";"10.0";"6.5";"";"";"";"";"";"";
"17.09.2019 09:00";"10.0";"733.6";"747.6";"0.0";"79";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"6.4";"No precipitation";"12";"Surface of ground moist.";"8.0";"";"";
"17.09.2019 06:00";"9.4";"733.6";"747.7";"0.0";"82";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"100%.";"600-1000";"";"";"10.0";"6.5";"0.5";"12";"";"";"";"";
"17.09.2019 03:00";"9.2";"733.6";"747.6";"-0.1";"84";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"6.6";"";"";"";"";"";"";
"17.09.2019 00:00";"10.7";"733.7";"747.7";"-0.6";"81";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"7.6";"";"";"";"";"";"";
"16.09.2019 21:00";"11.6";"734.3";"748.3";"-0.1";"78";"Wind blowing from the west-southwest";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"15.7";"Stratocumulus cumulogenitus.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"";"7.9";"0.5";"12";"";"";"";"";
"16.09.2019 18:00";"13.3";"734.4";"748.3";"0.5";"67";"Wind blowing from the west-southwest";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.3";"0.5";"12";"";"";"";"";
"16.09.2019 15:00";"14.6";"733.9";"747.7";"0.0";"59";"Wind blowing from the west";"1";"";"";"70 – 80%.";"State of sky on the whole unchanged. ";"Shower(s).";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.7";"";"";"";"";"";"";
